,CustomerKey,GeographyKey,Fullname,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned
4687,13556,525,Lacey Chande,16/02/1945,M,F,130000,4,4,Partial College,Professional,1,4
4688,13557,530,Claudia Yang,26/11/1946,S,F,90000,5,0,Partial College,Professional,1,2
4689,13558,572,Franklin Lin,13/03/1946,S,M,170000,4,4,Bachellors,Management,0,4
4690,13559,587,Savannah Brooks,03/02/1954,M,F,90000,3,1,High School,Professional,1,2
4691,13560,454,Adrienne Suarez,05/06/1953,M,F,80000,4,2,Partial College,Professional,1,2
4692,13561,657,Veronica Fernandez,01/06/1954,M,F,100000,3,4,High School,Professional,1,2
4693,13562,683,Megan Sherman,10/12/1954,S,M,100000,3,4,High School,Professional,0,3
4694,13563,662,Ricky Rubio,12/10/1954,S,M,110000,3,4,Partial College,Professional,1,4
4695,13564,641,Adriana Rodriguez,04/04/1954,M,F,130000,3,4,Partial College,Professional,1,4
4696,13565,623,Johnny Andersen,27/05/1953,S,M,110000,3,5,Bachellors,Management,0,0
4697,13566,687,Theodore Navarro,07/06/1952,S,M,110000,4,5,Partial College,Professional,0,2
4698,13567,576,Kara Nara,22/02/1952,S,F,170000,4,5,Partial College,Professional,0,4
4699,13568,529,Alison Deng,08/05/1951,M,F,80000,4,1,High School,Professional,1,3
4700,13569,485,Jose Mitchell,14/01/1951,S,M,130000,4,5,High School,Professional,0,3
4701,13570,525,Bob Gonzalez,12/02/1951,M,M,130000,4,5,High School,Professional,1,3
4702,13571,435,Karen Guo,20/02/1950,S,F,90000,4,1,High School,Management,1,3
4703,13572,503,Roberto Navarro,26/08/1950,S,M,90000,4,1,High School,Management,1,3
4704,13573,590,Carolyn Martinez,28/05/1950,M,F,100000,3,4,Partial College,Management,1,4
4705,13574,506,Colin Rai,16/09/1950,M,M,130000,4,5,High School,Management,1,3
4706,13575,638,Alison Yuan,04/06/1949,S,F,150000,4,5,Partial College,Management,0,4
4707,13576,497,Arturo Zhu,15/04/1949,S,M,150000,3,5,High School,Management,0,4
4708,13577,501,Jake Hu,16/09/1949,S,M,150000,4,5,High School,Management,0,4
4709,13578,574,Gilbert Lal,03/02/1948,S,M,170000,0,5,High School,Management,0,4
4710,13579,545,Meredith Lopez,07/04/1947,S,F,90000,5,0,Partial High School,Skilled Manual,0,2
4711,13580,437,Trevor Alexander,05/08/1947,S,M,100000,3,5,Partial High School,Professional,0,0
4712,13581,696,Wesley Zhao,10/08/1947,M,M,110000,4,5,Partial High School,Professional,1,3
4713,13582,525,Reginald Diaz,13/10/1947,M,M,130000,5,5,Partial High School,Professional,1,4
4714,13583,574,Marie Sai,24/10/1947,M,F,160000,5,5,Partial High School,Professional,0,4
4715,13584,576,Roy Chandra,13/08/1947,S,M,170000,5,5,Partial High School,Professional,0,4
4716,13585,679,Ronnie Liang,12/08/1975,S,M,60000,0,0,Bachellors,Professional,0,3
4717,13586,425,Harold Patel,15/08/1975,M,M,60000,0,0,Bachellors,Professional,1,4
4718,13587,487,Jerry Luo,20/10/1975,S,M,70000,0,0,Bachellors,Professional,1,2
4719,13588,596,Suzanne Sun,10/09/1975,M,F,70000,0,0,Bachellors,Professional,1,2
4720,13589,648,Kathryn Becker,07/02/1976,S,F,70000,0,0,Bachellors,Professional,0,3
4721,13590,478,Laura Zhao,11/06/1975,S,F,70000,0,0,Bachellors,Professional,0,3
4722,13591,706,Diana Alonso,04/01/1974,M,F,70000,0,0,Bachellors,Professional,0,3
4723,13592,561,Derek Pal,11/05/1974,S,M,70000,0,0,Bachellors,Professional,0,3
4724,13593,628,Jay Martinez,02/10/1975,S,M,90000,0,0,Bachellors,Professional,0,2
4725,13594,558,Destiny Watson,06/09/1974,M,F,70000,0,0,Bachellors,Professional,0,4
4726,13595,487,Franklin Yuan,23/03/1974,M,M,70000,0,0,Partial High School,Professional,1,4
4727,13596,646,Kelvin Wu,13/05/1973,S,M,80000,0,0,Bachellors,Professional,0,3
4728,13597,706,Heather Zhao,03/10/1973,M,F,80000,0,0,Bachellors,Professional,1,3
4729,13598,558,Lee Dominguez,18/10/1974,S,M,90000,0,0,Bachellors,Professional,1,2
4730,13599,493,Irma Sherwood,03/09/1974,S,M,100000,0,5,High School,Management,1,2
4731,13600,692,Virginia Garcia,22/08/1974,M,F,130000,4,5,High School,Management,1,4
4732,13601,632,Lisa Li,24/01/1973,M,F,90000,0,0,Bachellors,Professional,0,3
4733,13602,632,Natasha Munoz,18/03/1973,S,F,90000,0,0,Bachellors,Professional,0,3
4734,13603,519,Preston Garcia,18/06/1973,S,M,90000,0,0,Bachellors,Professional,0,3
4735,13604,492,Jake Zhu,25/12/1972,S,M,80000,0,0,Bachellors,Professional,0,3
4736,13605,558,Melvin Rai,09/01/1972,M,M,90000,0,0,Bachellors,Professional,1,3
4737,13606,561,Roger Wang,16/06/1972,S,M,100000,0,5,High School,Management,0,3
4738,13607,510,Cassie Nath,02/10/1972,M,F,100000,0,5,High School,Management,1,3
4739,13608,680,Kristine Ruiz,14/01/1971,S,F,80000,0,0,Bachellors,Professional,0,4
4740,13609,637,Katrina Nara,02/10/1972,M,F,110000,0,5,High School,Management,1,3
4741,13610,632,Jenny Zhang,10/04/1972,M,F,120000,0,5,Partial High School,Professional,0,4
4742,13611,473,Troy Kapoor,06/11/1972,S,M,130000,4,5,High School,Management,0,4
4743,13612,613,Pedro Suarez,27/08/1971,S,M,90000,0,0,Bachellors,Professional,0,4
4744,13613,568,Devon Chander,05/06/1970,S,M,90000,0,0,Bachellors,Professional,1,4
4745,13614,510,Stacy Serrano,23/09/1970,M,F,100000,0,5,Partial High School,Professional,1,4
4746,13615,692,Lindsey Raje,15/08/1970,M,F,120000,0,5,Partial High School,Professional,0,4
4747,13616,656,Dwayne Ortega,19/05/1971,M,M,110000,0,5,Partial High School,Professional,1,4
4748,13617,546,Zoe Cook,23/10/1949,M,F,40000,4,0,High School,Professional,1,2
4749,13618,597,Kelsey She,17/10/1948,M,F,30000,4,0,High School,Professional,0,2
4750,13619,610,Brett Gonzalez,11/12/1948,M,M,30000,4,0,High School,Professional,1,2
4751,13620,625,Shelby Kelly,17/02/1948,S,F,30000,4,0,High School,Professional,1,2
4752,13621,631,Olivia Morgan,22/02/1948,M,F,30000,4,0,High School,Professional,1,2
4753,13622,467,Chad Shan,03/02/1937,M,M,40000,4,0,High School,Professional,1,2
4754,13623,573,Blake Hall,13/06/1937,M,M,50000,3,0,Graduate Degree,Management,1,2
4755,13624,583,Beth Torres,18/03/1938,M,F,60000,3,0,Graduate Degree,Management,1,2
4756,13625,631,Allison Murphy,27/03/1938,M,F,60000,3,0,Graduate Degree,Management,1,2
4757,13626,467,Yolanda Nath,13/06/1938,M,F,60000,3,0,Graduate Degree,Management,0,2
4758,13627,505,Seth Bryant,27/04/1938,M,M,60000,3,0,Graduate Degree,Management,1,2
4759,13628,511,Eric Edwards,24/10/1939,S,M,60000,3,0,Graduate Degree,Management,1,2
4760,13629,505,David Walker,11/08/1939,S,M,60000,3,0,Graduate Degree,Management,1,2
4761,13630,520,Seth Perry,13/09/1939,M,M,60000,3,0,Graduate Degree,Management,0,2
4762,13631,571,Brianna Howard,16/04/1939,M,F,60000,3,0,Graduate Degree,Management,1,2
4763,13632,469,Hannah Powell,01/01/1939,S,F,60000,3,0,Graduate Degree,Management,1,2
4764,13633,566,Catherine James,20/05/1940,S,F,60000,3,0,Bachellors,Management,0,2
4765,13634,703,Xavier Cook,13/09/1940,M,M,60000,3,0,Bachellors,Management,0,2
4766,13635,442,Crystal He,05/04/1940,M,F,60000,3,0,Bachellors,Management,1,2
4767,13636,690,Gabrielle Rogers,14/10/1940,S,F,60000,3,0,Bachellors,Management,1,2
4768,13637,644,Anna Ward,02/05/1940,M,F,60000,3,0,Graduate Degree,Management,1,2
4769,13638,695,Nathan Flores,08/11/1941,M,M,40000,4,0,High School,Professional,1,2
4770,13639,520,Julia Lopez,12/10/1941,S,F,40000,4,0,High School,Professional,0,2
4771,13640,490,Ian Moore,06/11/1941,M,M,50000,3,0,Bachellors,Management,1,2
4772,13641,430,Lisa Yang,22/08/1941,S,F,50000,4,0,Bachellors,Management,0,2
4773,13642,643,Sarah Powell,20/09/1943,M,F,60000,4,0,Bachellors,Management,1,2
4774,13643,703,Edward Russell,08/11/1943,S,M,60000,4,0,Bachellors,Management,1,2
4775,13644,560,Jada Campbell,27/07/1943,S,F,60000,4,0,Bachellors,Management,1,2
4776,13645,625,Samuel Johnston,07/11/1943,M,M,60000,4,0,Bachellors,Management,0,2
4777,13646,597,Bryce Murphy,20/04/1943,M,M,60000,4,0,Bachellors,Management,0,2
4778,13647,682,Juan Murphy,12/07/1944,M,M,30000,4,0,High School,Professional,1,2
4779,13648,511,Jose Simmons,26/04/1944,S,M,30000,5,0,Partial High School,Clerical,0,2
4780,13649,488,Amanda King,11/11/1944,S,F,30000,5,0,Partial High School,Clerical,0,2
4781,13650,511,Aaron Washington,11/02/1947,M,M,40000,4,0,High School,Professional,0,2
4782,13651,505,Julia Baker,07/03/1945,S,F,20000,5,0,Partial High School,Clerical,0,3
4783,13652,522,Dakota Alexander,07/04/1945,S,M,20000,5,0,Partial High School,Clerical,0,3
4784,13653,479,Luke Butler,16/06/1945,S,M,20000,5,0,Partial High School,Clerical,0,4
4785,13654,507,Victoria Barnes,16/04/1946,M,F,40000,5,0,High School,Professional,1,3
4786,13655,494,Paige Simmons,13/10/1946,S,F,40000,5,0,High School,Professional,0,4
4787,13656,443,Taylor Sanders,16/11/1946,M,F,70000,5,0,Bachellors,Management,1,3
4788,13657,469,Julia Moore,03/07/1946,M,F,70000,5,0,Bachellors,Management,1,3
4789,13658,559,Alyssa Brooks,05/06/1947,M,F,40000,2,1,High School,Professional,1,2
4790,13659,559,Jenna Perez,17/05/1947,M,F,40000,2,1,High School,Professional,0,2
4791,13660,550,Kaitlyn Hill,01/02/1947,M,F,70000,2,1,Bachellors,Management,1,1
4792,13661,570,Anna Perry,27/11/1947,S,F,70000,2,1,Bachellors,Management,0,1
4793,13662,490,Madison Jones,22/06/1947,S,F,70000,2,1,Bachellors,Management,0,1
4794,13663,552,Arianna Price,24/05/1947,S,F,70000,2,1,Bachellors,Management,0,1
4795,13664,467,Ebony Fernandez,18/02/1948,S,F,40000,2,1,High School,Professional,1,2
4796,13665,647,Ian Washington,13/05/1948,M,M,40000,2,1,High School,Professional,1,2
4797,13666,668,Angela Morgan,06/04/1948,S,F,40000,2,1,High School,Professional,1,2
4798,13667,675,Hannah Martinez,11/05/1948,M,F,40000,2,1,High School,Professional,0,2
4799,13668,693,Chloe Diaz,24/06/1948,S,F,60000,2,1,Partial College,Professional,1,1
4800,13669,619,Katrina Xu,20/02/1948,M,F,60000,2,1,Partial College,Professional,1,2
4801,13670,690,Xavier Parker,19/09/1948,M,M,70000,4,1,Bachellors,Management,1,2
4802,13671,547,Alexandria Ross,02/03/1948,S,F,70000,4,1,Bachellors,Management,1,2
4803,13672,668,Christian Perry,14/11/1949,M,M,40000,2,1,Partial High School,Skilled Manual,1,2
4804,13673,559,Jeremy Cook,14/10/1949,M,M,60000,2,1,Partial College,Professional,1,2
4805,13674,667,Paige Cox,08/11/1949,M,F,70000,4,1,Partial College,Professional,1,2
4806,13675,552,Dylan Kumar,27/08/1949,M,M,70000,5,1,Partial College,Professional,1,2
4807,13676,570,Jackson Nelson,04/07/1949,S,M,70000,5,1,Partial College,Professional,1,2
4808,13677,693,Jeremy Roberts,11/06/1950,M,M,60000,2,1,Partial College,Professional,1,2
4809,13678,445,Blake Lee,15/02/1950,M,M,60000,2,1,Partial College,Professional,1,1
4810,13679,619,Nathan Long,26/08/1950,S,M,60000,2,1,Partial College,Professional,1,1
4811,13680,670,Wyatt Hernandez,06/02/1950,M,M,70000,4,2,Partial College,Professional,1,1
4812,13681,688,Thomas Flores,19/09/1950,S,M,80000,3,1,Bachellors,Management,0,1
4813,13682,691,Arianna Murphy,06/05/1950,S,F,80000,3,1,Bachellors,Management,0,1
4814,13683,668,Faith Rogers,22/12/1951,M,F,60000,2,1,High School,Professional,1,2
4815,13684,445,Shannon Alonso,19/05/1951,M,M,60000,2,1,Partial College,Professional,1,2
4816,13685,488,Charles Martin,21/04/1951,M,M,60000,2,1,Partial College,Professional,1,2
4817,13686,505,Jordan Kumar,03/06/1951,M,M,60000,2,1,Partial College,Professional,1,2
4818,13687,688,Melissa Murphy,18/07/1952,S,F,70000,2,1,Partial High School,Skilled Manual,1,2
4819,13688,627,Joan Ross,18/08/1952,S,F,70000,2,1,Partial High School,Skilled Manual,1,2
4820,13689,688,Ashley Long,03/02/1953,M,F,60000,3,1,Partial High School,Skilled Manual,0,3
4821,13690,426,Sandra Ye,26/01/1974,M,F,30000,0,0,Partial College,Clerical,0,1
4822,13691,437,Christian Long,10/03/1980,S,M,20000,0,0,Partial High School,Manual,1,2
4823,13692,662,Meredith Carlson,17/05/1980,M,F,20000,0,0,Partial High School,Manual,1,2
4824,13693,662,Laura He,08/03/1980,M,F,20000,0,0,Partial High School,Manual,1,2
4825,13694,543,Alexandra Rogers,16/10/1979,S,F,30000,0,0,Partial College,Clerical,1,1
4826,13695,586,Theodore Carlson,06/10/1978,S,M,30000,0,0,High School,Manual,0,1
4827,13696,545,Omar Zhou,02/11/1978,S,M,30000,0,0,High School,Manual,0,1
4828,13697,586,Tasha Xie,26/10/1978,S,F,30000,0,0,High School,Manual,0,1
4829,13698,506,Manuel Rodriguez,14/11/1974,M,M,40000,1,1,Bachellors,Skilled Manual,1,0
4830,13699,483,Blake Carter,23/05/1973,S,M,30000,0,0,High School,Manual,1,1
4831,13700,698,Rebekah Rubio,13/10/1972,S,F,20000,0,0,Partial High School,Manual,0,2
4832,13701,503,Gary Alvarez,28/03/1973,S,M,30000,0,0,High School,Manual,0,1
4833,13702,529,Marco Fernandez,14/04/1973,M,M,40000,1,1,Bachellors,Skilled Manual,1,0
4834,13703,506,Kari Ramos,27/06/1973,S,F,40000,0,0,Graduate Degree,Skilled Manual,0,0
4835,13704,698,Jonathan White,08/07/1972,M,M,20000,0,0,Partial High School,Manual,1,2
4836,13705,521,Allen Schmidt,13/03/1972,M,M,20000,0,0,Partial High School,Manual,1,2
4837,13706,506,Daniel Shimshoni,18/03/1972,S,F,30000,0,0,High School,Manual,1,1
4838,13707,595,Virginia Rana,08/02/1972,S,F,30000,0,0,High School,Manual,0,1
4839,13708,459,Shaun Pal,18/08/1972,S,M,30000,0,0,High School,Manual,1,1
4840,13709,459,Corey Chander,27/07/1972,S,M,30000,0,0,High School,Manual,0,1
4841,13710,657,Nancy Prasad,18/09/1972,M,F,40000,1,1,Bachellors,Skilled Manual,1,1
4842,13711,586,Brandy Malhotra,14/06/1972,M,F,40000,1,1,Bachellors,Skilled Manual,1,1
4843,13712,586,Rebekah Hernandez,22/04/1972,S,F,40000,1,1,Partial College,Clerical,0,1
4844,13713,439,Carly Kumar,04/04/1972,M,F,40000,2,2,Partial College,Clerical,1,0
4845,13714,459,Jeremy Brooks,05/07/1916,S,M,10000,4,0,Partial High School,Manual,0,2
4846,13715,481,Whitney Rodriguez,25/09/1971,S,F,20000,0,0,Partial High School,Manual,1,2
4847,13716,545,Kelli Nath,04/03/1971,S,F,20000,0,0,Partial High School,Manual,0,2
4848,13717,674,Colin Liu,17/10/1971,M,M,30000,0,0,High School,Manual,0,1
4849,13718,640,Damien Anand,20/06/1971,S,M,30000,0,0,High School,Manual,0,1
4850,13719,483,Terrence Black,08/06/1971,S,M,40000,2,2,Partial College,Clerical,1,1
4851,13720,662,Susan Zheng,15/04/1971,M,F,40000,2,2,Partial College,Clerical,1,1
4852,13721,439,Deanna Alvarez,03/11/1971,S,F,40000,2,2,Partial College,Clerical,1,2
4853,13722,506,Mandy Zheng,06/11/1971,M,F,40000,2,2,Partial College,Clerical,1,2
4854,13723,569,Hunter Ross,15/03/1970,S,M,40000,2,2,Partial College,Clerical,1,2
4855,13724,555,Shawna Pal,07/08/1970,M,F,40000,2,2,Partial College,Clerical,1,2
4856,13725,529,Alfredo Gutierrez,14/12/1970,M,M,40000,2,2,Partial College,Clerical,1,2
4857,13726,644,Bailey Young,05/05/1975,M,F,40000,3,3,Partial College,Clerical,1,0
4858,13727,703,Marissa Hughes,06/06/1975,M,F,40000,3,3,Partial College,Clerical,1,1
4859,13728,597,Mallory Jimenez,03/03/1974,M,F,40000,3,3,Partial College,Clerical,1,2
4860,13729,689,Julia Diaz,11/08/1974,S,F,50000,0,0,Graduate Degree,Skilled Manual,0,0
4861,13730,668,Chase Murphy,26/07/1974,S,M,50000,0,0,Graduate Degree,Skilled Manual,0,0
4862,13731,668,Anthony Moore,03/11/1975,M,M,40000,4,4,Partial College,Clerical,1,1
4863,13732,682,Evan Mitchell,14/10/1975,M,M,40000,4,4,Partial College,Clerical,1,1
4864,13733,523,Wyatt Davis,25/11/1930,M,M,30000,1,0,Bachellors,Skilled Manual,1,1
4865,13734,499,Luke Flores,23/06/1966,S,M,80000,0,0,Graduate Degree,Skilled Manual,0,0
4866,13735,597,Jack Turner,05/10/1966,S,M,80000,0,0,Graduate Degree,Skilled Manual,1,0
4867,13736,610,Madison Powell,14/05/1966,S,F,80000,0,0,Graduate Degree,Skilled Manual,1,0
4868,13737,500,Savannah Ramirez,18/01/1954,S,F,20000,3,0,Partial High School,Clerical,1,2
4869,13738,537,Angela Bailey,12/10/1954,S,F,20000,3,0,Partial High School,Clerical,1,2
4870,13739,633,Hannah Davis,17/09/1954,M,F,40000,1,0,Partial College,Clerical,1,1
4871,13740,516,Dalton Sanders,13/03/1954,M,M,40000,1,0,Partial College,Clerical,1,1
4872,13741,583,Shelby Cooper,14/07/1955,S,F,20000,3,0,Partial High School,Clerical,0,2
4873,13742,566,Brittany Perry,09/06/1955,S,F,20000,3,0,Partial High School,Clerical,0,2
4874,13743,625,Rachel Ramirez,14/03/1955,S,F,30000,1,0,High School,Clerical,0,2
4875,13744,551,Chloe Coleman,26/05/1956,S,F,30000,2,0,High School,Skilled Manual,0,2
4876,13745,467,Brendan Yuan,15/05/1956,M,M,30000,2,0,High School,Skilled Manual,1,2
4877,13746,527,Jennifer Ward,10/10/1956,S,F,30000,2,0,High School,Skilled Manual,0,2
4878,13747,499,Ian Russell,14/08/1957,S,M,20000,2,1,Partial High School,Clerical,1,2
4879,13748,430,Dakota Powell,25/08/1957,S,M,20000,2,1,Partial High School,Clerical,1,2
4880,13749,490,Jose Collins,26/04/1957,M,M,20000,2,1,Partial High School,Clerical,1,2
4881,13750,470,Marshall Guo,27/09/1957,M,M,20000,2,1,Partial High School,Clerical,1,2
4882,13751,527,Destiny Barnes,13/11/1957,M,F,20000,2,1,Partial High School,Clerical,1,2
4883,13752,627,Angela Howard,19/03/1957,M,F,30000,2,0,High School,Skilled Manual,1,2
4884,13753,583,Cameron Jackson,02/11/1958,S,M,30000,2,0,High School,Skilled Manual,1,2
4885,13754,625,Eduardo Jenkins,24/06/1958,S,M,30000,2,0,High School,Skilled Manual,1,2
4886,13755,570,Haley Rivera,05/12/1958,M,F,40000,1,0,Partial College,Clerical,1,1
4887,13756,671,Sean Scott,03/04/1958,M,M,40000,1,0,Partial College,Clerical,1,1
4888,13757,494,Carlos Bell,05/08/1958,M,M,40000,1,0,Partial College,Clerical,1,1
4889,13758,598,Alisha She,10/01/1958,M,F,40000,1,0,Partial College,Clerical,1,1
4890,13759,642,Gabriella Adams,11/12/1959,M,F,40000,2,0,Partial College,Clerical,0,1
4891,13760,562,Brooke Stewart,17/04/1959,S,F,40000,2,0,Partial College,Clerical,0,1
4892,13761,573,Julian Coleman,06/08/1959,S,M,40000,2,0,Partial College,Clerical,1,1
4893,13762,610,Lawrence Rubio,25/05/1959,S,M,40000,2,0,Partial College,Clerical,1,1
4894,13763,597,Warren Xu,28/05/1972,S,M,50000,0,0,Graduate Degree,Skilled Manual,1,0
4895,13764,550,Fernando Hill,21/10/1973,S,M,40000,0,0,Graduate Degree,Skilled Manual,0,0
4896,13765,627,Abigail Hughes,04/08/1973,M,F,40000,0,0,Graduate Degree,Skilled Manual,1,0
4897,13766,693,Morgan Alexander,26/02/1973,S,F,40000,1,0,Graduate Degree,Skilled Manual,1,0
4898,13767,559,Christian White,18/07/1973,M,M,40000,1,0,Graduate Degree,Skilled Manual,1,0
4899,13768,566,Lauren Jackson,10/03/1973,M,F,40000,1,0,Graduate Degree,Skilled Manual,1,0
4900,13769,469,Jordan Ross,14/10/1973,M,M,40000,1,0,Graduate Degree,Skilled Manual,0,0
4901,13770,469,Brendan Lal,11/07/1973,S,M,40000,1,0,Graduate Degree,Skilled Manual,1,0
4902,13771,560,Isaac Wright,13/11/1973,M,M,60000,1,0,Graduate Degree,Skilled Manual,1,0
4903,13772,499,Samuel Harris,19/08/1972,M,M,50000,1,0,Graduate Degree,Skilled Manual,1,0
4904,13773,670,Greg Russell,22/05/1972,M,M,50000,1,0,Graduate Degree,Skilled Manual,1,0
4905,13774,701,Grace Stewart,23/06/1971,M,F,70000,1,0,Graduate Degree,Skilled Manual,1,0
4906,13775,686,Xavier Gonzales,22/03/1971,S,M,70000,1,0,Graduate Degree,Skilled Manual,1,0
4907,13776,469,Alexandra Alexander,27/12/1971,M,F,70000,1,0,Graduate Degree,Skilled Manual,1,0
4908,13777,690,Samantha Perry,05/10/1971,M,F,70000,1,0,Graduate Degree,Skilled Manual,1,0
4909,13778,538,Eric Adams,03/02/1971,M,M,70000,1,0,Graduate Degree,Skilled Manual,0,0
4910,13779,499,Sean Baker,14/10/1971,M,M,70000,1,1,Graduate Degree,Skilled Manual,1,0
4911,13780,508,Morgan Lee,07/05/1971,M,F,70000,1,1,Graduate Degree,Skilled Manual,1,0
4912,13781,522,Courtney Hall,21/07/1971,M,F,70000,1,1,Graduate Degree,Skilled Manual,1,0
4913,13782,598,Carmen Garcia,22/10/1972,M,F,50000,1,1,Graduate Degree,Skilled Manual,1,0
4914,13783,430,Nicole Morris,07/02/1972,M,F,60000,1,0,Graduate Degree,Skilled Manual,1,0
4915,13784,610,Barry Raman,04/08/1972,M,M,60000,1,0,Graduate Degree,Skilled Manual,1,0
4916,13785,502,Megan Kelly,12/05/1972,S,F,70000,1,0,Graduate Degree,Professional,0,0
4917,13786,642,Cody Morris,28/02/1970,M,M,40000,1,1,Bachellors,Skilled Manual,1,0
4918,13787,675,Haley Adams,24/01/1970,M,F,40000,1,1,Bachellors,Skilled Manual,1,0
4919,13788,677,Andrea Watson,25/12/1970,M,F,40000,1,1,Bachellors,Skilled Manual,1,0
4920,13789,479,Ashley Bennett,02/10/1970,M,F,40000,1,1,Bachellors,Skilled Manual,1,1
4921,13790,430,Tamara Hu,12/06/1970,M,F,40000,1,1,Bachellors,Skilled Manual,1,1
4922,13791,443,Rebekah Navarro,06/08/1970,M,F,40000,1,1,Bachellors,Skilled Manual,1,1
4923,13792,597,Teresa Ortega,25/05/1970,M,F,40000,1,1,Bachellors,Skilled Manual,1,1
4924,13793,469,Clifford Malhotra,17/10/1970,M,M,40000,1,1,Bachellors,Skilled Manual,1,1
4925,13794,505,Cole Morgan,07/07/1970,M,M,40000,1,1,Bachellors,Skilled Manual,1,1
4926,13795,703,Cody Sanchez,03/10/1969,M,M,60000,1,1,Bachellors,Skilled Manual,1,1
4927,13796,620,Alexandra Lewis,22/11/1969,M,F,60000,2,2,Bachellors,Skilled Manual,1,0
4928,13797,653,Jessica Simmons,19/11/1969,M,F,60000,2,2,Bachellors,Skilled Manual,1,0
4929,13798,442,Dylan Flores,05/11/1969,S,M,60000,2,2,Bachellors,Skilled Manual,0,0
4930,13799,583,Lawrence Moreno,27/05/1969,S,M,60000,2,2,Bachellors,Skilled Manual,1,0
4931,13800,611,Byron Sanz,05/11/1969,S,M,60000,2,2,Bachellors,Skilled Manual,1,0
4932,13801,583,Eduardo Young,15/06/1971,S,M,60000,1,0,Graduate Degree,Professional,0,0
4933,13802,678,Chase Bailey,11/07/1971,S,M,60000,1,0,Graduate Degree,Professional,1,0
4934,13803,488,Timothy Allen,03/03/1971,S,M,70000,3,0,Graduate Degree,Professional,1,0
4935,13804,500,Anna Diaz,23/09/1968,M,F,40000,4,4,High School,Skilled Manual,1,3
4936,13805,469,Tonya Raji,19/09/1968,M,F,70000,2,2,Bachellors,Skilled Manual,1,1
4937,13806,467,Donna Luo,18/11/1967,M,F,40000,5,5,High School,Skilled Manual,1,2
4938,13807,584,Faith Russell,25/03/1970,M,F,70000,4,0,Graduate Degree,Professional,1,0
4939,13808,610,Anne Moreno,25/04/1970,M,F,70000,4,0,Graduate Degree,Professional,0,0
4940,13809,645,Eric Perez,25/04/1970,M,M,70000,4,0,Graduate Degree,Professional,0,0
4941,13810,520,Alyssa Moore,09/03/1970,M,F,70000,4,0,Graduate Degree,Professional,1,0
4942,13811,689,Alyssa Richardson,16/02/1967,M,F,50000,2,2,Bachellors,Skilled Manual,1,1
4943,13812,633,Trinity Ramirez,12/07/1967,S,F,50000,2,2,Bachellors,Skilled Manual,0,1
4944,13813,610,Johnathan Sai,18/08/1966,M,M,80000,3,3,Bachellors,Skilled Manual,1,1
4945,13814,470,Armando Schmidt,21/10/1966,M,M,80000,3,3,Bachellors,Skilled Manual,1,1
4946,13815,479,Gabriel Washington,02/05/1966,S,M,60000,0,0,Graduate Degree,Professional,1,0
4947,13816,610,Victoria Clark,14/06/1966,S,F,70000,4,0,Graduate Degree,Professional,1,0
4948,13817,647,Lauren Perry,19/11/1969,M,F,60000,2,0,Graduate Degree,Professional,0,0
4949,13818,550,Victoria Richardson,11/10/1969,M,F,60000,2,0,Graduate Degree,Professional,1,0
4950,13819,597,Diane Rubio,18/03/1969,M,F,70000,5,0,Graduate Degree,Professional,1,0
4951,13820,495,Jack Shan,16/08/1969,M,M,70000,5,0,Graduate Degree,Professional,1,0
4952,13821,508,David Clark,12/10/1969,M,M,70000,5,5,Graduate Degree,Professional,1,2
4953,13822,575,Melissa Alexander,19/09/1969,M,F,70000,5,5,Graduate Degree,Professional,1,2
4954,13823,469,Paige Cook,11/03/1969,M,F,70000,5,5,Graduate Degree,Professional,1,3
4955,13824,469,Vincent Zhao,17/08/1969,M,M,70000,5,5,Graduate Degree,Professional,1,3
4956,13825,671,Alexandria Wood,08/09/1965,S,F,40000,0,0,Bachellors,Professional,1,1
4957,13826,562,Zoe Sanders,19/04/1965,M,F,50000,3,3,Bachellors,Skilled Manual,1,2
4958,13827,442,Richard Powell,25/08/1965,M,M,50000,3,3,Bachellors,Skilled Manual,0,2
4959,13828,643,Alexander Martinez,10/06/1965,M,M,50000,3,3,Bachellors,Skilled Manual,1,3
4960,13829,584,Brooke Reed,03/03/1965,S,F,60000,0,0,Graduate Degree,Professional,1,0
4961,13830,633,Ethan Patterson,24/02/1965,M,M,60000,0,0,Graduate Degree,Professional,0,0
4962,13831,597,Alexandra Cox,08/09/1965,M,F,60000,0,0,Graduate Degree,Professional,1,1
4963,13832,570,Jackson Diaz,13/07/1965,S,M,60000,0,0,Graduate Degree,Professional,1,1
4964,13833,668,Morgan Martin,02/08/1965,M,F,60000,0,0,Graduate Degree,Professional,0,1
4965,13834,529,Deanna Ruiz,18/02/1968,S,F,40000,0,0,Graduate Degree,Clerical,1,0
4966,13835,747,Bethany Jai,06/03/1968,M,F,40000,0,0,Graduate Degree,Clerical,1,0
4967,13836,501,Angel Morgan,27/10/1968,S,M,40000,0,0,Graduate Degree,Clerical,1,0
4968,13837,543,Taylor Robinson,15/06/1925,S,F,10000,4,0,Partial College,Manual,0,2
4969,13838,662,Wyatt Lewis,06/11/1957,S,M,130000,2,4,Partial College,Professional,0,2
4970,13839,569,Elijah Young,26/05/1957,S,M,130000,3,4,Partial College,Professional,0,3
